order_id,delivery_partner_id_x,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status_x,reasons_if_delayed,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status_y,order_total,payment_method,delivery_partner_id_y,store_id,order_year,order_month,weekday,rating,sentiment,feedback_category
1961864118,63230,2024-07-17 08:52:01,2024-07-17 08:47:01,-5.0,0.96,On Time,No Delay,30065862,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,On Time,3197.07,Cash,63230,4771,2024,July,Wednesday,4,Neutral,Delivery
1549769649,14983,2024-05-28 13:25:29,2024-05-28 13:27:29,2.0,0.98,On Time,Traffic,9573071,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,On Time,976.55,Cash,14983,7534,2024,May,Tuesday,3,Negative,App Experience
9185164487,39859,2024-09-23 13:25:12,2024-09-23 13:29:12,4.0,3.83,On Time,Traffic,45477575,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,On Time,839.05,Upi,39859,9886,2024,September,Monday,3,Neutral,App Experience
9644738826,61497,2023-11-24 16:34:56,2023-11-24 16:33:56,-1.0,2.76,On Time,No Delay,88067569,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,On Time,440.23,Card,61497,7917,2023,November,Friday,4,Neutral,App Experience
5427684290,84315,2023-11-20 05:17:39,2023-11-20 05:18:39,1.0,2.63,On Time,Traffic,83298567,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,On Time,2526.68,Cash,84315,2741,2023,November,Monday,3,Negative,Delivery
3265154092,554,2023-03-18 16:49:51,2023-03-18 16:48:51,-1.0,1.94,On Time,No Delay,43367112,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,On Time,3161.43,Upi,554,3442,2023,March,Saturday,2,Negative,Customer Service
4898355547,14630,2023-04-16 19:01:37,2023-04-16 19:02:37,1.0,2.2,On Time,Traffic,13284996,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,On Time,956.4,Card,14630,1318,2023,April,Sunday,4,Positive,Product Quality
6568151549,67714,2024-03-31 06:37:48,2024-03-31 06:39:48,2.0,1.3,On Time,Traffic,88866835,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,On Time,905.47,Cash,67714,115,2024,March,Sunday,2,Negative,App Experience
6006693867,91362,2023-07-14 00:02:36,2023-07-14 00:05:36,3.0,3.38,On Time,Traffic,24496983,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,On Time,1371.17,Card,91362,9021,2023,July,Thursday,3,Negative,Delivery
374186990,77203,2023-08-09 01:37:30,2023-08-09 01:44:30,7.0,1.47,Slightly Delayed,Traffic,52215833,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,Slightly Delayed,1601.19,Wallet,77203,7955,2023,August,Wednesday,3,Neutral,App Experience
4455336265,64046,2023-08-30 19:47:06,2023-08-30 19:45:06,-2.0,0.76,On Time,No Delay,43431724,2023-08-30 19:37:06,2023-08-30 19:47:06,2023-08-30 19:45:06,On Time,2362.33,Upi,64046,3784,2023,August,Wednesday,2,Negative,Delivery
3539286337,94899,2023-04-25 20:44:24,2023-04-25 20:39:24,-5.0,3.68,On Time,No Delay,77559557,2023-04-25 20:32:24,2023-04-25 20:44:24,2023-04-25 20:39:24,On Time,1463.8,Wallet,94899,2463,2023,April,Tuesday,3,Neutral,Delivery
9171116867,73907,2023-10-22 11:25:33,2023-10-22 11:37:33,12.0,2.23,Slightly Delayed,Traffic,87107263,2023-10-22 11:15:33,2023-10-22 11:25:33,2023-10-22 11:37:33,Slightly Delayed,822.63,Card,73907,6899,2023,October,Sunday,4,Neutral,Customer Service
5504941865,56077,2024-01-28 02:55:11,2024-01-28 03:06:11,11.0,4.45,Slightly Delayed,Traffic,76512976,2024-01-28 02:39:11,2024-01-28 02:55:11,2024-01-28 03:06:11,Slightly Delayed,2287.68,Wallet,56077,9809,2024,January,Sunday,5,Positive,App Experience
5868326481,94140,2024-03-15 21:24:07,2024-03-15 21:21:07,-3.0,2.8,On Time,No Delay,37556526,2024-03-15 21:07:07,2024-03-15 21:24:07,2024-03-15 21:21:07,On Time,1962.35,Wallet,94140,3106,2024,March,Friday,4,Neutral,Product Quality
2137046916,12377,2024-02-03 09:03:32,2024-02-03 09:01:32,-2.0,1.78,On Time,No Delay,12059049,2024-02-03 08:50:32,2024-02-03 09:03:32,2024-02-03 09:01:32,On Time,3373.96,Upi,12377,1007,2024,February,Saturday,4,Positive,Customer Service
8195544338,102,2023-04-26 04:20:57,2023-04-26 04:28:57,8.0,1.16,Slightly Delayed,Traffic,26199489,2023-04-26 04:03:57,2023-04-26 04:20:57,2023-04-26 04:28:57,Slightly Delayed,845.71,Wallet,102,3809,2023,April,Wednesday,4,Neutral,Delivery
2889700050,45032,2024-04-30 16:33:26,2024-04-30 16:36:26,3.0,3.07,On Time,Traffic,84848018,2024-04-30 16:22:26,2024-04-30 16:33:26,2024-04-30 16:36:26,On Time,2706.54,Wallet,45032,78,2024,April,Tuesday,4,Neutral,Delivery
65827885,1108,2023-07-27 00:25:05,2023-07-27 00:20:05,-5.0,1.65,On Time,No Delay,47577193,2023-07-27 00:13:05,2023-07-27 00:25:05,2023-07-27 00:20:05,On Time,1132.98,Cash,1108,3817,2023,July,Thursday,1,Negative,Delivery
4656471694,62782,2023-12-09 08:27:08,2023-12-09 08:35:08,8.0,3.7,Slightly Delayed,Traffic,60728956,2023-12-09 08:08:08,2023-12-09 08:27:08,2023-12-09 08:35:08,Slightly Delayed,1525.5,Cash,62782,5739,2023,December,Saturday,3,Negative,Customer Service
6625178717,74906,2023-07-01 04:40:22,2023-07-01 04:53:22,13.0,4.22,Slightly Delayed,Traffic,62068277,2023-07-01 04:24:22,2023-07-01 04:40:22,2023-07-01 04:53:22,Slightly Delayed,5718.09,Card,74906,2130,2023,July,Saturday,2,Negative,Product Quality
7169557514,79516,2023-03-21 05:38:13,2023-03-21 05:50:13,12.0,3.28,Slightly Delayed,Traffic,84824280,2023-03-21 05:27:13,2023-03-21 05:38:13,2023-03-21 05:50:13,Slightly Delayed,2970.9,Card,79516,9535,2023,March,Tuesday,2,Negative,Product Quality
2268306684,65733,2024-05-28 15:11:08,2024-05-28 15:10:08,-1.0,1.82,On Time,No Delay,66742602,2024-05-28 14:59:08,2024-05-28 15:11:08,2024-05-28 15:10:08,On Time,2991.57,Wallet,65733,6847,2024,May,Tuesday,5,Positive,Delivery
6905293278,53868,2024-06-16 10:36:23,2024-06-16 11:02:23,26.0,0.58,Significantly Delayed,Traffic,97259564,2024-06-16 10:23:23,2024-06-16 10:36:23,2024-06-16 11:02:23,Significantly Delayed,1404.68,Cash,53868,4187,2024,June,Sunday,3,Neutral,Delivery
1769493463,22954,2024-06-26 07:29:47,2024-06-26 07:24:47,-5.0,1.21,On Time,No Delay,3292927,2024-06-26 07:13:47,2024-06-26 07:29:47,2024-06-26 07:24:47,On Time,2541.32,Wallet,22954,7071,2024,June,Wednesday,2,Negative,App Experience
5003387344,21004,2024-06-23 11:05:47,2024-06-23 11:00:47,-5.0,4.52,On Time,No Delay,26592009,2024-06-23 10:53:47,2024-06-23 11:05:47,2024-06-23 11:00:47,On Time,2475.69,Wallet,21004,7477,2024,June,Sunday,4,Neutral,Delivery
2064484752,43022,2024-05-07 23:00:49,2024-05-07 22:55:49,-5.0,2.29,On Time,No Delay,89995124,2024-05-07 22:42:49,2024-05-07 23:00:49,2024-05-07 22:55:49,On Time,1949.92,Wallet,43022,1116,2024,May,Tuesday,3,Neutral,Customer Service
964822979,42914,2024-07-13 10:49:00,2024-07-13 10:47:00,-2.0,1.09,On Time,No Delay,88520326,2024-07-13 10:38:00,2024-07-13 10:49:00,2024-07-13 10:47:00,On Time,5804.23,Wallet,42914,7603,2024,July,Saturday,3,Negative,Product Quality
6037899648,59131,2024-03-27 18:00:43,2024-03-27 18:04:43,4.0,4.56,On Time,Traffic,22738465,2024-03-27 17:44:43,2024-03-27 18:00:43,2024-03-27 18:04:43,On Time,1231.03,Cash,59131,914,2024,March,Wednesday,3,Neutral,Product Quality
9347571484,88612,2024-11-02 17:26:15,2024-11-02 17:39:15,13.0,3.29,Slightly Delayed,Traffic,29562072,2024-11-02 17:15:15,2024-11-02 17:26:15,2024-11-02 17:39:15,Slightly Delayed,3138.06,Card,88612,9615,2024,November,Saturday,3,Negative,Product Quality
3286177534,90038,2023-06-25 00:09:15,2023-06-25 00:07:15,-2.0,3.07,On Time,No Delay,10225164,2023-06-24 23:52:15,2023-06-25 00:09:15,2023-06-25 00:07:15,On Time,3612.26,Wallet,90038,6046,2023,June,Saturday,3,Neutral,Delivery
