product_id,date,stock_received,damaged_stock,month,year
153019,2023-03-17,4,2,March,2023
848226,2023-03-17,4,2,March,2023
965755,2023-03-17,1,0,March,2023
39154,2023-03-17,4,0,March,2023
34186,2023-03-17,3,2,March,2023
478531,2023-03-17,4,2,March,2023
812607,2023-03-17,4,0,March,2023
818990,2023-03-17,4,0,March,2023
14145,2023-03-17,0,2,March,2023
847349,2023-03-17,0,2,March,2023
284460,2023-03-17,4,0,March,2023
77308,2023-03-17,0,2,March,2023
654297,2023-03-17,4,2,March,2023
376447,2023-03-17,4,0,March,2023
217710,2023-03-17,0,2,March,2023
888807,2023-03-17,1,0,March,2023
41853,2023-03-17,4,0,March,2023
257719,2023-03-17,4,0,March,2023
741341,2023-03-17,0,2,March,2023
500633,2023-03-17,0,2,March,2023
799952,2023-03-17,3,0,March,2023
833557,2023-03-17,4,0,March,2023
324809,2023-03-17,1,0,March,2023
455083,2023-03-17,0,2,March,2023
592784,2023-03-17,3,0,March,2023
578097,2023-03-17,0,2,March,2023
487065,2023-03-17,4,0,March,2023
734789,2023-03-17,4,0,March,2023
949818,2023-03-17,0,2,March,2023
654623,2023-03-17,4,0,March,2023
378230,2023-03-17,0,2,March,2023
990993,2023-03-17,1,0,March,2023
762527,2023-03-17,4,0,March,2023
602241,2023-03-17,1,2,March,2023
491521,2023-03-17,3,0,March,2023
832348,2023-03-17,3,2,March,2023
567671,2023-03-17,4,0,March,2023
991434,2023-03-17,0,2,March,2023
540618,2023-03-17,3,0,March,2023
107548,2023-03-17,0,2,March,2023
687218,2023-03-17,3,2,March,2023
328457,2023-03-17,3,0,March,2023
300159,2023-03-17,3,2,March,2023
378676,2023-03-17,3,0,March,2023
532965,2023-03-17,4,0,March,2023
305754,2023-03-17,1,0,March,2023
491314,2023-03-17,0,2,March,2023
470449,2023-03-17,0,2,March,2023
623234,2023-03-17,0,2,March,2023
652118,2023-03-17,0,2,March,2023
611575,2023-03-17,3,0,March,2023
621677,2023-03-17,3,0,March,2023
306177,2023-03-17,4,0,March,2023
692985,2023-03-17,0,2,March,2023
487931,2023-03-17,0,2,March,2023
901144,2023-03-17,3,0,March,2023
53833,2023-03-17,4,0,March,2023
490602,2023-03-17,4,0,March,2023
131136,2023-03-17,0,2,March,2023
287070,2023-03-17,1,0,March,2023
317242,2023-03-17,3,0,March,2023
644847,2023-03-17,0,2,March,2023
461804,2023-03-17,3,0,March,2023
94225,2023-03-17,0,2,March,2023
820541,2023-03-17,3,0,March,2023
91670,2023-03-17,3,2,March,2023
336847,2023-03-17,0,2,March,2023
144124,2023-03-17,3,2,March,2023
677542,2023-03-17,1,0,March,2023
604184,2023-03-17,1,0,March,2023
894539,2023-03-17,0,2,March,2023
968887,2023-03-17,4,0,March,2023
